 15:33:57 up  3:09,  1 user,  load average: 0.85, 1.05, 0.99
 15:33:58 up  3:09,  1 user,  load average: 0.85, 1.05, 0.99
 15:33:59 up  3:09,  1 user,  load average: 0.85, 1.05, 0.99
 15:34:00 up  3:09,  1 user,  load average: 0.85, 1.05, 0.99
 15:34:01 up  3:09,  1 user,  load average: 0.85, 1.05, 0.99
 15:34:02 up  3:09,  1 user,  load average: 0.94, 1.06, 1.00
 15:34:03 up  3:09,  1 user,  load average: 0.94, 1.06, 1.00
 15:34:04 up  3:09,  1 user,  load average: 0.94, 1.06, 1.00
 15:34:05 up  3:09,  1 user,  load average: 0.94, 1.06, 1.00
 15:34:06 up  3:09,  1 user,  load average: 0.94, 1.06, 1.00
 15:34:07 up  3:09,  1 user,  load average: 0.95, 1.06, 1.00
 15:34:08 up  3:09,  1 user,  load average: 0.95, 1.06, 1.00
 15:34:09 up  3:09,  1 user,  load average: 0.95, 1.06, 1.00
 15:34:10 up  3:09,  1 user,  load average: 0.95, 1.06, 1.00
 15:34:11 up  3:09,  1 user,  load average: 0.95, 1.06, 1.00
 15:34:12 up  3:09,  1 user,  load average: 0.87, 1.04, 0.99
 15:34:13 up  3:09,  1 user,  load average: 0.87, 1.04, 0.99
 15:34:14 up  3:09,  1 user,  load average: 0.87, 1.04, 0.99
 15:34:15 up  3:09,  1 user,  load average: 0.87, 1.04, 0.99
 15:34:16 up  3:09,  1 user,  load average: 0.87, 1.04, 0.99
 15:34:17 up  3:09,  1 user,  load average: 0.80, 1.03, 0.99
 15:34:18 up  3:09,  1 user,  load average: 0.80, 1.03, 0.99
 15:34:19 up  3:09,  1 user,  load average: 0.80, 1.03, 0.99
 15:34:20 up  3:09,  1 user,  load average: 0.80, 1.03, 0.99
 15:34:21 up  3:09,  1 user,  load average: 0.80, 1.03, 0.99
 15:34:22 up  3:09,  1 user,  load average: 0.90, 1.04, 0.99
 15:34:23 up  3:09,  1 user,  load average: 0.90, 1.04, 0.99
 15:34:24 up  3:09,  1 user,  load average: 0.90, 1.04, 0.99
 15:34:25 up  3:09,  1 user,  load average: 0.90, 1.04, 0.99
 15:34:26 up  3:09,  1 user,  load average: 0.90, 1.04, 0.99
 15:34:27 up  3:09,  1 user,  load average: 0.91, 1.04, 1.00
 15:34:28 up  3:09,  1 user,  load average: 0.91, 1.04, 1.00
 15:34:29 up  3:09,  1 user,  load average: 0.91, 1.04, 1.00
 15:34:30 up  3:09,  1 user,  load average: 0.91, 1.04, 1.00
 15:34:31 up  3:09,  1 user,  load average: 0.91, 1.04, 1.00
 15:34:32 up  3:09,  1 user,  load average: 0.83, 1.03, 0.99
 15:34:33 up  3:09,  1 user,  load average: 0.83, 1.03, 0.99
 15:34:34 up  3:09,  1 user,  load average: 0.83, 1.03, 0.99
 15:34:35 up  3:09,  1 user,  load average: 0.83, 1.03, 0.99
 15:34:36 up  3:09,  1 user,  load average: 0.83, 1.03, 0.99
 15:34:37 up  3:09,  1 user,  load average: 0.85, 1.02, 0.99
 15:34:38 up  3:09,  1 user,  load average: 0.85, 1.02, 0.99
 15:34:39 up  3:09,  1 user,  load average: 0.85, 1.02, 0.99
 15:34:40 up  3:09,  1 user,  load average: 0.85, 1.02, 0.99
 15:34:41 up  3:09,  1 user,  load average: 0.78, 1.01, 0.98
 15:34:42 up  3:09,  1 user,  load average: 0.78, 1.01, 0.98
 15:34:43 up  3:09,  1 user,  load average: 0.78, 1.01, 0.98
 15:34:44 up  3:09,  1 user,  load average: 0.78, 1.01, 0.98
 15:34:45 up  3:09,  1 user,  load average: 0.78, 1.01, 0.98
 15:34:46 up  3:09,  1 user,  load average: 0.72, 0.99, 0.98
 15:34:47 up  3:09,  1 user,  load average: 0.72, 0.99, 0.98
 15:34:48 up  3:09,  1 user,  load average: 0.72, 0.99, 0.98
 15:34:49 up  3:09,  1 user,  load average: 0.72, 0.99, 0.98
 15:34:50 up  3:10,  1 user,  load average: 0.72, 0.99, 0.98
 15:34:51 up  3:10,  1 user,  load average: 0.66, 0.97, 0.97
 15:34:52 up  3:10,  1 user,  load average: 0.66, 0.97, 0.97
 15:34:53 up  3:10,  1 user,  load average: 0.66, 0.97, 0.97
 15:34:54 up  3:10,  1 user,  load average: 0.66, 0.97, 0.97
 15:34:55 up  3:10,  1 user,  load average: 0.66, 0.97, 0.97
 15:34:56 up  3:10,  1 user,  load average: 0.69, 0.97, 0.97
